Mode=early_first_window | dataset=baseline_dataset.npz | training_dir=koopman_training | history_days=5 | attack_rate_as_percent=True
-------------------------------------------------------------------------------------------------------------------------------------
run=0246 seed=72 | attack_rate real=74.80 vs pred=1.93 | peak_day real=34.00 vs pred=25.00
run=0247 seed=72 | attack_rate real=75.20 vs pred=1.93 | peak_day real=34.00 vs pred=25.00
run=0248 seed=72 | attack_rate real=75.20 vs pred=1.93 | peak_day real=34.00 vs pred=25.00
run=0249 seed=72 | attack_rate real=75.20 vs pred=1.93 | peak_day real=34.00 vs pred=25.00
run=0250 seed=72 | attack_rate real=75.20 vs pred=1.93 | peak_day real=34.00 vs pred=25.00
run=0251 seed=72 | attack_rate real=75.20 vs pred=1.93 | peak_day real=34.00 vs pred=25.00
run=0252 seed=72 | attack_rate real=75.20 vs pred=1.93 | peak_day real=34.00 vs pred=25.00
run=0253 seed=73 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0254 seed=73 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0255 seed=73 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0256 seed=73 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0257 seed=73 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0258 seed=73 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0259 seed=73 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0260 seed=73 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0261 seed=73 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0262 seed=73 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
